horizon_days,model,rebalance_variant,phase6_1_sharpe,phase6_1_cumret,phase6_1_mdd,phase6_1_hac_t,phase6_3_sharpe,phase6_3_cumret,phase6_3_mdd,phase6_3_hac_t,sharpe_delta,cumret_delta
5,lightgbm,daily,0.4121259187704695,0.1297545212042206,-0.1231649247297859,0.7428921272596738,0.4120646265684055,0.1279523954897066,-0.1318377821037483,0.7340102382623381,-6.129220206402275e-05,-0.0018021257145139
5,lightgbm,daily,0.4121259187704698,0.129754521204221,-0.123164924729786,0.7428921272596739,0.4120646265684055,0.1279523954897066,-0.1318377821037483,0.7340102382623381,-6.12922020643003e-05,-0.0018021257145144
10,lightgbm,daily,0.4273093634444421,0.1302120809602256,-0.2091670854931846,0.7472033778533208,0.4307137505102837,0.1316460147859461,-0.2179148928274188,0.741858059761224,0.0034043870658416,0.0014339338257204
10,lightgbm,daily,0.4273093634444422,0.1302120809602254,-0.2091670854931846,0.747203377853321,0.4307137505102837,0.1316460147859461,-0.2179148928274188,0.741858059761224,0.0034043870658415,0.0014339338257206
