return_col,n_days,mean_daily,vol_daily,tstat_naive_daily,ann_sharpe_naive,cumulative_return,max_drawdown,win_rate,tstat_hac_daily_mean,horizon_days,model,rebalance_variant,cost_bps,net_or_gross,period,positive_sharpe_years,min_year_sharpe,positive_return_years,min_year_cumulative,worst_year_drawdown,avg_daily_turnover,avg_daily_positions,robust_score
net_abnormal_return_cost_10p0bps,752,0.0003700442829223,0.0081117444201639,1.2509742216545503,0.724168634499961,0.2884521011109859,-0.1180349877346893,0.5172872340425532,1.2797098484580194,5,lightgbm,twice_weekly_mon_thu,10.0,net,full,3,0.0832672788440967,3,0.0022786199352717,-0.1180349877346897,0.1351732158173929,107.96941489361704,2.09756453272392
net_abnormal_return_cost_10p0bps,752,0.0003570153143169,0.0086789700636602,1.1280479891313058,0.6530086374275632,0.2712725695794877,-0.1635011394221353,0.526595744680851,1.1314015681375966,5,lightgbm,weekly_first,10.0,net,full,2,-0.1270104765235471,2,-0.0273725168180548,-0.1635011394221346,0.1239259363536442,86.12234042553192,1.5092950995396734
net_abnormal_return_cost_10p0bps,752,0.0002656276519759,0.0072279499758714,1.007783086679754,0.5833892410570908,0.1974344262850875,-0.1975206687166879,0.5,1.0038589105328726,10,lightgbm,twice_weekly_mon_thu,10.0,net,full,2,-0.9112599143186154,2,-0.0838200298395609,-0.1428111896015104,0.0794356842308356,146.06515957446808,1.444911064583329
net_abnormal_return_cost_10p0bps,752,0.0001885350890739,0.0069487025920313,0.744041889045035,0.4307137505102837,0.1316460147859461,-0.2179148928274188,0.4973404255319149,0.741858059761224,10,lightgbm,daily,10.0,net,full,2,-1.060930827718552,2,-0.0995673054580773,-0.1488694081347413,0.0698051351406663,186.9627659574468,1.2868537365262411
net_abnormal_return_cost_10p0bps,752,0.0001856432334186,0.0071517785784908,0.7118262251840347,0.4120646265684055,0.1279523954897066,-0.1318377821037483,0.5079787234042553,0.7340102382623381,5,lightgbm,daily,10.0,net,full,2,-0.1067499662626466,2,-0.0207495569735166,-0.1318377821037477,0.12860479062478,147.27393617021278,1.2818433402041414
net_abnormal_return_cost_10p0bps,750,0.0001288226713426,0.0089147078848931,0.3957453453523027,0.2293957958020427,0.068963718038032,-0.1650213524562641,0.5226666666666666,0.4046666750469829,5,lightgbm,every_5th_trading_day,10.0,net,full,2,-0.2035054091774283,2,-0.0400667086188712,-0.1650213524562651,0.1159715433374006,69.99333333333334,1.0888993479052105
net_abnormal_return_cost_10p0bps,750,8.256541722107332e-05,0.0076911428333131,0.2939936395793498,0.1704149036851115,0.0406158171814916,-0.2854125764391935,0.4893333333333333,0.2963409869176578,10,lightgbm,every_5th_trading_day,10.0,net,full,2,-1.3973636441779036,2,-0.1473705478210506,-0.2072139617199778,0.065667106541856,103.26666666666668,0.9948750621945868
net_abnormal_return_cost_10p0bps,752,4.332772987944754e-05,0.0073405342507728,0.1618628511360444,0.0936997724289064,0.012457863531101,-0.2191404913628051,0.5093085106382979,0.1686544958796018,10,lightgbm,weekly_first,10.0,net,full,2,-1.225007736413516,2,-0.1210683272084681,-0.1418103731874603,0.0730689887774025,123.74601063829788,0.9475950323588026
net_abnormal_return_cost_10p0bps,748,-3.987887832247295e-05,0.0078011124872115,-0.1398096643553949,-0.081149652523353,-0.0513156554278483,-0.2610034370292979,0.5040106951871658,-0.1352591507388887,10,lightgbm,weekly_last,10.0,net,full,2,-1.3727278916417125,2,-0.16040204451264,-0.2000672749398618,0.0726286056453819,102.72326203208556,0.752034326139307
net_abnormal_return_cost_10p0bps,748,-0.0001232077526629,0.008366884380776,-0.4027402796538058,-0.2337623361142362,-0.1115696887818519,-0.2680315328100981,0.4866310160427807,-0.3852682212787735,5,lightgbm,weekly_last,10.0,net,full,2,-1.3925563449462404,2,-0.1851101022883307,-0.2671076009113837,0.1208903789110995,69.00133689839572,0.5717767080251649
